"protein","Time","Cow","Diet"
3,6,"B17","barley"
3.15,7,"B17","barley"
3.01,8,"B17","barley"
3.5,9,"B17","barley"
3.29,10,"B17","barley"
3.16,11,"B17","barley"
3.33,12,"B17","barley"
3.5,13,"B17","barley"
3.46,14,"B17","barley"
3.48,15,"B17","barley"
3.98,16,"B17","barley"
3.7,17,"B17","barley"
3.36,18,"B17","barley"
3.55,19,"B17","barley"
4.44,1,"B18","barley"
3.85,2,"B18","barley"
3.55,3,"B18","barley"
3.22,4,"B18","barley"
3.4,5,"B18","barley"
3.28,6,"B18","barley"
3.42,7,"B18","barley"
3.35,8,"B18","barley"
3.01,9,"B18","barley"
3.55,10,"B18","barley"
3.7,11,"B18","barley"
3.73,12,"B18","barley"
3.65,13,"B18","barley"
3.78,14,"B18","barley"
3.82,15,"B18","barley"
3.75,16,"B18","barley"
3.95,17,"B18","barley"
3.85,18,"B18","barley"
3.72,19,"B18","barley"
4.23,1,"B19","barley"
3.75,2,"B19","barley"
3.82,3,"B19","barley"
3.6,4,"B19","barley"
4.09,5,"B19","barley"
3.84,6,"B19","barley"
3.62,7,"B19","barley"
3.36,8,"B19","barley"
3.65,9,"B19","barley"
3.41,10,"B19","barley"
3.15,11,"B19","barley"
3.68,12,"B19","barley"
3.54,13,"B19","barley"
3.75,14,"B19","barley"
3.72,15,"B19","barley"
4.05,16,"B19","barley"
3.6,17,"B19","barley"
3.88,18,"B19","barley"
3.98,19,"B19","barley"
3.82,1,"B20","barley"
3.27,3,"B20","barley"
3.33,4,"B20","barley"
3.25,5,"B20","barley"
2.97,6,"B20","barley"
3.57,7,"B20","barley"
3.43,8,"B20","barley"
3.5,9,"B20","barley"
3.58,10,"B20","barley"
3.7,11,"B20","barley"
3.55,12,"B20","barley"
3.58,13,"B20","barley"
3.7,14,"B20","barley"
3.6,15,"B20","barley"
3.42,16,"B20","barley"
3.33,17,"B20","barley"
3.53,18,"B20","barley"
3.4,19,"B20","barley"
3.53,1,"B21","barley"
3.1,2,"B21","barley"
3.9,3,"B21","barley"
3.48,4,"B21","barley"
3.35,5,"B21","barley"
3.35,6,"B21","barley"
3.65,7,"B21","barley"
3.56,8,"B21","barley"
3.27,9,"B21","barley"
3.61,10,"B21","barley"
3.66,11,"B21","barley"
3.47,12,"B21","barley"
3.34,13,"B21","barley"
3.32,14,"B21","barley"
3.22,15,"B21","barley"
3.18,16,"B21","barley"
4.47,1,"B22","barley"
3.86,2,"B22","barley"
3.34,3,"B22","barley"
3.49,4,"B22","barley"
3.74,5,"B22","barley"
3.24,6,"B22","barley"
3.71,7,"B22","barley"
3.46,8,"B22","barley"
3.88,9,"B22","barley"
3.6,10,"B22","barley"
4,11,"B22","barley"
3.83,12,"B22","barley"
3.8,13,"B22","barley"
4.12,14,"B22","barley"
3.98,15,"B22","barley"
3.77,16,"B22","barley"
3.52,17,"B22","barley"
3.5,18,"B22","barley"
3.42,19,"B22","barley"
3.93,1,"B23","barley"
3.79,2,"B23","barley"
3.68,3,"B23","barley"
3.58,4,"B23","barley"
3.76,5,"B23","barley"
3.66,6,"B23","barley"
3.57,7,"B23","barley"
3.85,8,"B23","barley"
3.75,9,"B23","barley"
3.37,10,"B23","barley"
3,11,"B23","barley"
3.24,12,"B23","barley"
3.44,13,"B23","barley"
3.23,14,"B23","barley"
3.27,1,"B24","barley"
3.84,2,"B24","barley"
3.46,3,"B24","barley"
3.44,4,"B24","barley"
3.4,5,"B24","barley"
3.5,6,"B24","barley"
3.63,7,"B24","barley"
3.47,8,"B24","barley"
3.32,9,"B24","barley"
3.47,10,"B24","barley"
3.4,11,"B24","barley"
3.27,12,"B24","barley"
3.74,13,"B24","barley"
3.76,14,"B24","barley"
3.68,15,"B24","barley"
3.68,16,"B24","barley"
3.93,17,"B24","barley"
3.8,18,"B24","barley"
3.52,19,"B24","barley"
3.32,1,"B25","barley"
3.61,2,"B25","barley"
3.25,3,"B25","barley"
3.48,4,"B25","barley"
3.58,5,"B25","barley"
3.47,6,"B25","barley"
3.6,7,"B25","barley"
3.51,8,"B25","barley"
3.74,9,"B25","barley"
3.5,10,"B25","barley"
3.08,11,"B25","barley"
2.77,12,"B25","barley"
3.22,13,"B25","barley"
3.35,14,"B25","barley"
3.14,15,"B25","barley"
3.38,1,"BL01","barley+lupins"
3.38,2,"BL01","barley+lupins"
3.1,3,"BL01","barley+lupins"
3.09,4,"BL01","barley+lupins"
3.15,5,"BL01","barley+lupins"
2.77,6,"BL01","barley+lupins"
3.4,7,"BL01","barley+lupins"
3.25,8,"BL01","barley+lupins"
3.35,9,"BL01","barley+lupins"
3.57,10,"BL01","barley+lupins"
3.8,11,"BL01","barley+lupins"
3.7,12,"BL01","barley+lupins"
3.44,13,"BL01","barley+lupins"
3.51,14,"BL01","barley+lupins"
3.78,15,"BL01","barley+lupins"
3.52,16,"BL01","barley+lupins"
3.26,17,"BL01","barley+lupins"
3.52,18,"BL01","barley+lupins"
3.25,19,"BL01","barley+lupins"
3.8,1,"BL02","barley+lupins"
3.51,2,"BL02","barley+lupins"
3.19,3,"BL02","barley+lupins"
3.11,4,"BL02","barley+lupins"
3.35,5,"BL02","barley+lupins"
3.46,6,"BL02","barley+lupins"
3.2,7,"BL02","barley+lupins"
3.52,8,"BL02","barley+lupins"
3.66,9,"BL02","barley+lupins"
3.87,10,"BL02","barley+lupins"
3.85,11,"BL02","barley+lupins"
3.9,12,"BL02","barley+lupins"
4.06,13,"BL02","barley+lupins"
3.93,14,"BL02","barley+lupins"
3.4,15,"BL02","barley+lupins"
3.85,16,"BL02","barley+lupins"
3.93,17,"BL02","barley+lupins"
3.52,18,"BL02","barley+lupins"
3.62,19,"BL02","barley+lupins"
4.17,1,"BL03","barley+lupins"
3.71,2,"BL03","barley+lupins"
3.32,3,"BL03","barley+lupins"
3.1,4,"BL03","barley+lupins"
3.07,5,"BL03","barley+lupins"
3.11,6,"BL03","barley+lupins"
3.29,7,"BL03","barley+lupins"
3,8,"BL03","barley+lupins"
3.32,9,"BL03","barley+lupins"
3.25,10,"BL03","barley+lupins"
3.5,11,"BL03","barley+lupins"
3.31,12,"BL03","barley+lupins"
3.51,13,"BL03","barley+lupins"
3.54,14,"BL03","barley+lupins"
3.45,15,"BL03","barley+lupins"
3.59,16,"BL03","barley+lupins"
3.38,17,"BL03","barley+lupins"
3.44,18,"BL03","barley+lupins"
3.18,19,"BL03","barley+lupins"
4.59,1,"BL04","barley+lupins"
3.86,2,"BL04","barley+lupins"
3.62,3,"BL04","barley+lupins"
3.6,4,"BL04","barley+lupins"
3.65,5,"BL04","barley+lupins"
3.75,6,"BL04","barley+lupins"
3.71,7,"BL04","barley+lupins"
3.73,8,"BL04","barley+lupins"
3.62,9,"BL04","barley+lupins"
3.63,10,"BL04","barley+lupins"
3.4,11,"BL04","barley+lupins"
3.44,12,"BL04","barley+lupins"
3.45,13,"BL04","barley+lupins"
3.2,14,"BL04","barley+lupins"
4.07,1,"BL05","barley+lupins"
3.45,2,"BL05","barley+lupins"
3.56,3,"BL05","barley+lupins"
3.1,4,"BL05","barley+lupins"
3.92,5,"BL05","barley+lupins"
3.2,6,"BL05","barley+lupins"
3.28,7,"BL05","barley+lupins"
3.36,8,"BL05","barley+lupins"
3.28,9,"BL05","barley+lupins"
3.25,10,"BL05","barley+lupins"
2.99,11,"BL05","barley+lupins"
3.1,12,"BL05","barley+lupins"
3.05,13,"BL05","barley+lupins"
2.7,14,"BL05","barley+lupins"
4.32,1,"BL06","barley+lupins"
3.37,2,"BL06","barley+lupins"
3.47,3,"BL06","barley+lupins"
3.46,4,"BL06","barley+lupins"
3.31,5,"BL06","barley+lupins"
3.57,6,"BL06","barley+lupins"
3.38,7,"BL06","barley+lupins"
3.01,8,"BL06","barley+lupins"
3.66,9,"BL06","barley+lupins"
3.46,10,"BL06","barley+lupins"
3.21,11,"BL06","barley+lupins"
3.76,12,"BL06","barley+lupins"
3.44,13,"BL06","barley+lupins"
3.47,14,"BL06","barley+lupins"
3.45,15,"BL06","barley+lupins"
3.89,16,"BL06","barley+lupins"
3.65,17,"BL06","barley+lupins"
3.59,18,"BL06","barley+lupins"
3.8,19,"BL06","barley+lupins"
3.56,1,"BL07","barley+lupins"
3.14,2,"BL07","barley+lupins"
3.6,3,"BL07","barley+lupins"
3.36,4,"BL07","barley+lupins"
3.37,5,"BL07","barley+lupins"
3.44,6,"BL07","barley+lupins"
3.57,7,"BL07","barley+lupins"
3.55,8,"BL07","barley+lupins"
3.57,9,"BL07","barley+lupins"
3.68,10,"BL07","barley+lupins"
3.58,11,"BL07","barley+lupins"
3.65,12,"BL07","barley+lupins"
3.29,13,"BL07","barley+lupins"
3.53,14,"BL07","barley+lupins"
3.26,15,"BL07","barley+lupins"
2.89,16,"BL07","barley+lupins"
3.67,1,"BL08","barley+lupins"
3.33,2,"BL08","barley+lupins"
3.2,3,"BL08","barley+lupins"
2.72,4,"BL08","barley+lupins"
2.95,5,"BL08","barley+lupins"
3.07,6,"BL08","barley+lupins"
2.9,7,"BL08","barley+lupins"
3.56,8,"BL08","barley+lupins"
3.19,9,"BL08","barley+lupins"
3.35,10,"BL08","barley+lupins"
3.26,11,"BL08","barley+lupins"
3.4,12,"BL08","barley+lupins"
3.18,13,"BL08","barley+lupins"
3.43,14,"BL08","barley+lupins"
3.57,15,"BL08","barley+lupins"
3.49,16,"BL08","barley+lupins"
3.59,17,"BL08","barley+lupins"
3.27,18,"BL08","barley+lupins"
3.48,19,"BL08","barley+lupins"
4.15,1,"BL09","barley+lupins"
3.55,2,"BL09","barley+lupins"
3.27,3,"BL09","barley+lupins"
3.27,4,"BL09","barley+lupins"
3.65,5,"BL09","barley+lupins"
3.58,6,"BL09","barley+lupins"
3.55,7,"BL09","barley+lupins"
3.47,8,"BL09","barley+lupins"
3.48,9,"BL09","barley+lupins"
3.55,10,"BL09","barley+lupins"
3.3,11,"BL09","barley+lupins"
3.32,12,"BL09","barley+lupins"
3.22,13,"BL09","barley+lupins"
2.97,14,"BL09","barley+lupins"
3.51,1,"BL10","barley+lupins"
3.9,2,"BL10","barley+lupins"
2.75,3,"BL10","barley+lupins"
3.37,4,"BL10","barley+lupins"
3.51,5,"BL10","barley+lupins"
3.64,6,"BL10","barley+lupins"
3.55,7,"BL10","barley+lupins"
3.6,8,"BL10","barley+lupins"
3.7,9,"BL10","barley+lupins"
3.6,10,"BL10","barley+lupins"
3.65,11,"BL10","barley+lupins"
3.55,12,"BL10","barley+lupins"
3.3,13,"BL10","barley+lupins"
3.15,14,"BL10","barley+lupins"
2.9,15,"BL10","barley+lupins"
4.2,1,"BL11","barley+lupins"
3.31,2,"BL11","barley+lupins"
3.3,3,"BL11","barley+lupins"
3.32,4,"BL11","barley+lupins"
3.29,5,"BL11","barley+lupins"
3.17,6,"BL11","barley+lupins"
3.04,7,"BL11","barley+lupins"
3.09,8,"BL11","barley+lupins"
3.14,9,"BL11","barley+lupins"
3.04,10,"BL11","barley+lupins"
3.46,11,"BL11","barley+lupins"
3.12,12,"BL11","barley+lupins"
3.3,13,"BL11","barley+lupins"
3.09,14,"BL11","barley+lupins"
3.45,15,"BL11","barley+lupins"
3.47,16,"BL11","barley+lupins"
3.3,17,"BL11","barley+lupins"
3.45,18,"BL11","barley+lupins"
3.42,19,"BL11","barley+lupins"
4.12,1,"BL12","barley+lupins"
3.56,2,"BL12","barley+lupins"
3.58,3,"BL12","barley+lupins"
3.47,4,"BL12","barley+lupins"
3.2,5,"BL12","barley+lupins"
3.5,6,"BL12","barley+lupins"
3.4,7,"BL12","barley+lupins"
3.56,8,"BL12","barley+lupins"
3.02,9,"BL12","barley+lupins"
3.25,10,"BL12","barley+lupins"
3.44,11,"BL12","barley+lupins"
3.52,12,"BL12","barley+lupins"
3.72,13,"BL12","barley+lupins"
3.55,14,"BL12","barley+lupins"
3.65,15,"BL12","barley+lupins"
3.3,16,"BL12","barley+lupins"
3.35,17,"BL12","barley+lupins"
3.2,18,"BL12","barley+lupins"
2.84,19,"BL12","barley+lupins"
3.52,1,"BL13","barley+lupins"
3.64,2,"BL13","barley+lupins"
3.1,3,"BL13","barley+lupins"
3.19,4,"BL13","barley+lupins"
2.95,5,"BL13","barley+lupins"
2.75,6,"BL13","barley+lupins"
3.15,7,"BL13","barley+lupins"
3.2,8,"BL13","barley+lupins"
3.03,9,"BL13","barley+lupins"
3.53,10,"BL13","barley+lupins"
3.42,11,"BL13","barley+lupins"
3.46,12,"BL13","barley+lupins"
3.33,13,"BL13","barley+lupins"
3.53,14,"BL13","barley+lupins"
3.59,15,"BL13","barley+lupins"
4.42,16,"BL13","barley+lupins"
3.99,17,"BL13","barley+lupins"
3.88,18,"BL13","barley+lupins"
3.8,19,"BL13","barley+lupins"
4.08,1,"BL14","barley+lupins"
3.62,2,"BL14","barley+lupins"
3.55,3,"BL14","barley+lupins"
3.43,4,"BL14","barley+lupins"
3.13,5,"BL14","barley+lupins"
3.28,6,"BL14","barley+lupins"
3.13,7,"BL14","barley+lupins"
3.28,8,"BL14","barley+lupins"
3.02,9,"BL14","barley+lupins"
3.48,10,"BL14","barley+lupins"
3.34,11,"BL14","barley+lupins"
3.25,12,"BL14","barley+lupins"
3.38,13,"BL14","barley+lupins"
3.68,14,"BL14","barley+lupins"
3.4,15,"BL14","barley+lupins"
3.54,16,"BL14","barley+lupins"
3.66,17,"BL14","barley+lupins"
3.52,18,"BL14","barley+lupins"
3.4,19,"BL14","barley+lupins"
4.02,1,"BL15","barley+lupins"
3.45,2,"BL15","barley+lupins"
3.28,3,"BL15","barley+lupins"
3.31,4,"BL15","barley+lupins"
3.37,5,"BL15","barley+lupins"
3.26,6,"BL15","barley+lupins"
3.25,7,"BL15","barley+lupins"
3.48,8,"BL15","barley+lupins"
3.23,9,"BL15","barley+lupins"
3.03,10,"BL15","barley+lupins"
2.8,11,"BL15","barley+lupins"
3.17,12,"BL15","barley+lupins"
3.04,13,"BL15","barley+lupins"
3.05,14,"BL15","barley+lupins"
3.18,1,"BL16","barley+lupins"
3.12,2,"BL16","barley+lupins"
2.87,3,"BL16","barley+lupins"
3.04,4,"BL16","barley+lupins"
2.88,5,"BL16","barley+lupins"
3.08,6,"BL16","barley+lupins"
3.15,7,"BL16","barley+lupins"
3.22,8,"BL16","barley+lupins"
3.2,9,"BL16","barley+lupins"
3.46,10,"BL16","barley+lupins"
3.33,11,"BL16","barley+lupins"
3.26,12,"BL16","barley+lupins"
3.4,13,"BL16","barley+lupins"
3.36,14,"BL16","barley+lupins"
3.97,15,"BL16","barley+lupins"
3.2,16,"BL16","barley+lupins"
3.1,17,"BL16","barley+lupins"
3.19,18,"BL16","barley+lupins"
3.1,19,"BL16","barley+lupins"
4.11,1,"BL17","barley+lupins"
4.09,2,"BL17","barley+lupins"
3.54,3,"BL17","barley+lupins"
3.15,4,"BL17","barley+lupins"
3.57,5,"BL17","barley+lupins"
3.23,6,"BL17","barley+lupins"
3.1,7,"BL17","barley+lupins"
3.3,8,"BL17","barley+lupins"
3.6,9,"BL17","barley+lupins"
3.74,10,"BL17","barley+lupins"
3.55,11,"BL17","barley+lupins"
3.66,12,"BL17","barley+lupins"
3.68,13,"BL17","barley+lupins"
3.81,14,"BL17","barley+lupins"
3.97,15,"BL17","barley+lupins"
3.78,16,"BL17","barley+lupins"
3.41,17,"BL17","barley+lupins"
3.15,18,"BL17","barley+lupins"
3.32,19,"BL17","barley+lupins"
3.27,1,"BL18","barley+lupins"
3.1,2,"BL18","barley+lupins"
3.14,3,"BL18","barley+lupins"
2.8,4,"BL18","barley+lupins"
3.34,5,"BL18","barley+lupins"
3.11,6,"BL18","barley+lupins"
3.17,7,"BL18","barley+lupins"
3.15,8,"BL18","barley+lupins"
3.52,9,"BL18","barley+lupins"
3.35,10,"BL18","barley+lupins"
3.3,11,"BL18","barley+lupins"
3.55,12,"BL18","barley+lupins"
3.11,14,"BL18","barley+lupins"
2.94,15,"BL18","barley+lupins"
3.25,16,"BL18","barley+lupins"
3.05,17,"BL18","barley+lupins"
2.95,18,"BL18","barley+lupins"
3.27,1,"BL19","barley+lupins"
3.4,2,"BL19","barley+lupins"
3.5,3,"BL19","barley+lupins"
3.38,4,"BL19","barley+lupins"
3.29,5,"BL19","barley+lupins"
3.6,6,"BL19","barley+lupins"
3.5,7,"BL19","barley+lupins"
3.33,8,"BL19","barley+lupins"
3.66,9,"BL19","barley+lupins"
3.68,10,"BL19","barley+lupins"
3.2,11,"BL19","barley+lupins"
3.1,12,"BL19","barley+lupins"
3.32,13,"BL19","barley+lupins"
3.26,14,"BL19","barley+lupins"
3.08,15,"BL19","barley+lupins"
3.97,1,"BL20","barley+lupins"
3.6,2,"BL20","barley+lupins"
3.5,3,"BL20","barley+lupins"
3.5,4,"BL20","barley+lupins"
3.58,5,"BL20","barley+lupins"
3.58,6,"BL20","barley+lupins"
3.57,7,"BL20","barley+lupins"
3.65,8,"BL20","barley+lupins"
3.71,9,"BL20","barley+lupins"
3.37,10,"BL20","barley+lupins"
3.15,11,"BL20","barley+lupins"
3.2,12,"BL20","barley+lupins"
3.32,13,"BL20","barley+lupins"
3.01,14,"BL20","barley+lupins"
3.31,1,"BL21","barley+lupins"
3.42,2,"BL21","barley+lupins"
3.24,3,"BL21","barley+lupins"
3.38,4,"BL21","barley+lupins"
3.39,5,"BL21","barley+lupins"
3.7,6,"BL21","barley+lupins"
3.47,7,"BL21","barley+lupins"
3.49,8,"BL21","barley+lupins"
3.64,9,"BL21","barley+lupins"
3.5,10,"BL21","barley+lupins"
3.27,11,"BL21","barley+lupins"
2.95,12,"BL21","barley+lupins"
3.04,13,"BL21","barley+lupins"
3.21,14,"BL21","barley+lupins"
3.04,15,"BL21","barley+lupins"
4.12,1,"BL22","barley+lupins"
3.25,2,"BL22","barley+lupins"
3.14,3,"BL22","barley+lupins"
3,4,"BL22","barley+lupins"
3.2,5,"BL22","barley+lupins"
3.55,6,"BL22","barley+lupins"
3.45,7,"BL22","barley+lupins"
3.63,8,"BL22","barley+lupins"
3.5,9,"BL22","barley+lupins"
3.9,10,"BL22","barley+lupins"
3.3,11,"BL22","barley+lupins"
3.7,12,"BL22","barley+lupins"
3.92,13,"BL22","barley+lupins"
3.87,14,"BL22","barley+lupins"
3.25,15,"BL22","barley+lupins"
3.12,16,"BL22","barley+lupins"
3.04,17,"BL22","barley+lupins"
3.45,18,"BL22","barley+lupins"
3.38,19,"BL22","barley+lupins"
3.92,1,"BL23","barley+lupins"
3.55,2,"BL23","barley+lupins"
3.74,3,"BL23","barley+lupins"
3.46,4,"BL23","barley+lupins"
3.45,5,"BL23","barley+lupins"
3.48,6,"BL23","barley+lupins"
3.26,7,"BL23","barley+lupins"
3.6,8,"BL23","barley+lupins"
3.5,9,"BL23","barley+lupins"
2.86,10,"BL23","barley+lupins"
3.65,11,"BL23","barley+lupins"
3.17,12,"BL23","barley+lupins"
3.18,13,"BL23","barley+lupins"
3.05,14,"BL23","barley+lupins"
3.78,1,"BL24","barley+lupins"
3.4,2,"BL24","barley+lupins"
3.17,3,"BL24","barley+lupins"
3.28,4,"BL24","barley+lupins"
3.27,5,"BL24","barley+lupins"
3.69,6,"BL24","barley+lupins"
3.24,7,"BL24","barley+lupins"
3.3,8,"BL24","barley+lupins"
3.24,9,"BL24","barley+lupins"
2.91,10,"BL24","barley+lupins"
3,11,"BL24","barley+lupins"
2.85,12,"BL24","barley+lupins"
3.41,13,"BL24","barley+lupins"
3.3,14,"BL24","barley+lupins"
3.22,15,"BL24","barley+lupins"
3.55,16,"BL24","barley+lupins"
3.62,17,"BL24","barley+lupins"
3.59,18,"BL24","barley+lupins"
3.45,19,"BL24","barley+lupins"
4,1,"BL25","barley+lupins"
3.74,2,"BL25","barley+lupins"
3.48,3,"BL25","barley+lupins"
3.75,4,"BL25","barley+lupins"
3.78,5,"BL25","barley+lupins"
3.77,6,"BL25","barley+lupins"
3.7,7,"BL25","barley+lupins"
3.91,8,"BL25","barley+lupins"
3.94,9,"BL25","barley+lupins"
3.94,10,"BL25","barley+lupins"
3.1,11,"BL25","barley+lupins"
3.1,12,"BL25","barley+lupins"
3.3,13,"BL25","barley+lupins"
3.27,14,"BL25","barley+lupins"
